epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9895,1.8497,2.42848,0.01099,0.80348,0.71451,0.80274,0.39508,1.80526,1.59642,0.01678,0.00066,0.00066,0.00066
2,65.1324,1.76588,1.39918,0.0106,0.77615,0.76517,0.8062,0.40256,1.65966,1.36063,0.01379,0.0013201,0.0013201,0.0013201
3,97.2014,1.78991,1.28436,0.01002,0.88044,0.61367,0.78986,0.41142,1.74663,1.54775,0.01496,0.0019736,0.0019736,0.0019736
4,128.566,1.90073,1.41194,0.01105,0.80868,0.72068,0.80529,0.35171,1.89595,1.34664,0.01567,0.0019703,0.0019703,0.0019703
5,160.98,1.73552,1.19954,0.01005,0.88807,0.81327,0.89504,0.48829,1.59447,1.01117,0.01336,0.0019604,0.0019604,0.0019604
6,192.41,1.74155,1.1506,0.01046,0.86941,0.85957,0.89341,0.41122,1.80128,0.93817,0.01516,0.0019505,0.0019505,0.0019505
7,225.757,1.73771,1.09788,0.01035,0.86677,0.77309,0.85724,0.45244,1.68378,0.98505,0.01493,0.0019406,0.0019406,0.0019406
8,258.617,1.71357,1.03025,0.01004,0.88973,0.83796,0.91495,0.49916,1.60849,0.944,0.01447,0.0019307,0.0019307,0.0019307
9,293.773,1.66271,0.95246,0.00925,0.93312,0.89198,0.94633,0.52304,1.61891,0.73511,0.01422,0.0019208,0.0019208,0.0019208
10,327.626,1.62959,0.96822,0.00943,0.86541,0.83642,0.89188,0.4398,1.58156,0.9616,0.0135,0.0019109,0.0019109,0.0019109
11,361.295,1.61206,0.94421,0.00968,0.91091,0.86785,0.93717,0.52898,1.54137,0.72623,0.01375,0.001901,0.001901,0.001901
12,411.692,1.61789,0.91114,0.00976,0.89884,0.8858,0.94036,0.44343,1.7994,0.76927,0.01506,0.0018911,0.0018911,0.0018911
13,459.415,1.61578,0.88687,0.0095,0.93845,0.88735,0.95292,0.58127,1.41251,0.75024,0.01213,0.0018812,0.0018812,0.0018812
14,504.183,1.61418,0.86175,0.0093,0.90351,0.92487,0.95765,0.53725,1.57247,0.67964,0.01448,0.0018713,0.0018713,0.0018713
15,544.077,1.58518,0.84003,0.00893,0.92614,0.92884,0.96775,0.5812,1.44152,0.62065,0.01183,0.0018614,0.0018614,0.0018614
16,584.739,1.5885,0.84315,0.00899,0.9401,0.91049,0.95985,0.54611,1.53736,0.68114,0.0128,0.0018515,0.0018515,0.0018515
17,626.55,1.56732,0.88051,0.00915,0.94758,0.8926,0.96716,0.51753,1.60077,0.67405,0.01296,0.0018416,0.0018416,0.0018416
18,666.219,1.50322,0.82013,0.00869,0.95997,0.8881,0.96188,0.5828,1.38216,0.59873,0.01094,0.0018317,0.0018317,0.0018317
19,706.84,1.5168,0.77059,0.00847,0.95078,0.89432,0.96346,0.544,1.46372,0.61322,0.01095,0.0018218,0.0018218,0.0018218
