epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0979,1.8497,2.42848,0.01099,0.80348,0.71451,0.80274,0.39508,1.80526,1.59642,0.01678,0.00066,0.00066,0.00066
2,68.0872,1.775,1.40878,0.01064,0.83349,0.7037,0.80488,0.41481,1.78702,1.40967,0.0166,0.00131121,0.00131121,0.00131121
3,101.213,1.75757,1.25066,0.00981,0.84849,0.79784,0.87504,0.47973,1.60151,1.11462,0.01394,0.0019469,0.0019469,0.0019469
4,134.359,1.89474,1.34638,0.01111,0.91012,0.80556,0.8861,0.42553,1.74795,1.24101,0.01408,0.00193012,0.00193012,0.00193012
5,169.354,1.74035,1.20751,0.00984,0.90628,0.77602,0.87817,0.47175,1.61468,1.12617,0.01422,0.00190682,0.00190682,0.00190682
6,204.136,1.74922,1.12156,0.01051,0.90092,0.84191,0.91499,0.42859,1.80948,nan,0.01439,0.00188353,0.00188353,0.00188353
7,244.964,1.72195,1.10641,0.01033,0.85388,0.81162,0.86362,0.43589,1.68025,1.29594,0.01436,0.00186024,0.00186024,0.00186024
8,289.821,1.6789,1.019,0.00959,0.92007,0.88117,0.92729,0.48987,1.62293,0.84691,0.01386,0.00183694,0.00183694,0.00183694
9,333.722,1.61558,0.89976,0.00895,0.92101,0.88169,0.9426,0.44306,1.72249,0.83654,0.01392,0.00181365,0.00181365,0.00181365
10,376.179,1.62827,0.91575,0.00929,0.91973,0.86644,0.93906,0.46247,1.75082,0.78183,0.01585,0.00179035,0.00179035,0.00179035
11,420.395,1.60372,0.88302,0.00951,0.93672,0.86801,0.93839,0.49405,1.68289,0.76762,0.0151,0.00176706,0.00176706,0.00176706
12,464.103,1.62282,0.87025,0.01001,0.95695,0.85754,0.94599,0.56291,1.52521,0.74178,0.01418,0.00174376,0.00174376,0.00174376
13,507.679,1.65192,0.89186,0.00978,0.91801,0.84414,0.93552,0.56777,1.57899,0.71648,0.01605,0.00172047,0.00172047,0.00172047
14,550.016,1.63462,0.85154,0.00955,0.90581,0.88426,0.94606,0.56015,1.48238,0.83064,0.01351,0.00169718,0.00169718,0.00169718
15,592.792,1.57786,0.82572,0.00885,0.94823,0.8479,0.93839,0.53949,1.54975,0.80615,0.01327,0.00167388,0.00167388,0.00167388
16,634.878,1.59883,0.8312,0.00907,0.94465,0.86908,0.94225,0.52372,1.61039,0.73011,0.01441,0.00165059,0.00165059,0.00165059
17,677.299,1.5469,0.86203,0.00916,0.94659,0.84781,0.94463,0.55468,1.46781,0.81082,0.01278,0.00162729,0.00162729,0.00162729
18,720.306,1.53799,0.8165,0.00883,0.91758,0.93364,0.95912,0.49505,1.62209,0.69712,0.01356,0.001604,0.001604,0.001604
19,763.837,1.47368,0.76825,0.00837,0.93573,0.88889,0.96309,0.59271,1.39311,0.60542,0.01112,0.00158071,0.00158071,0.00158071
