epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1566.33,1.30757,0.61603,0.00716,0.96215,0.94137,0.97482,0.65215,1.25917,0.51964,0.0103,0.00135056,0.00135056,0.00135056
43,1612.89,1.34113,0.61638,0.0075,0.9707,0.94907,0.98134,0.68478,1.15679,0.46158,0.00977,0.00133472,0.00133472,0.00133472
44,1644.3,1.29368,0.63895,0.00751,0.95078,0.95062,0.98244,0.67968,1.15721,0.44996,0.0089,0.00131888,0.00131888,0.00131888
45,1674.02,1.30292,0.61223,0.00736,0.95693,0.95679,0.98295,0.63168,1.32151,0.45981,0.01044,0.00130304,0.00130304,0.00130304
46,1702.79,1.30372,0.61458,0.00738,0.97153,0.9479,0.9806,0.6733,1.15222,0.42767,0.00913,0.0012872,0.0012872,0.0012872
47,1732.07,1.29116,0.61941,0.0077,0.98057,0.91049,0.9722,0.66833,1.17713,0.48915,0.00954,0.00127136,0.00127136,0.00127136
48,1761.71,1.26373,0.5887,0.00752,0.96548,0.93519,0.97745,0.6665,1.23442,0.46744,0.01049,0.00125552,0.00125552,0.00125552
49,1791.27,1.29294,0.60684,0.00735,0.98812,0.96142,0.98263,0.6581,1.22947,0.41562,0.00947,0.00123968,0.00123968,0.00123968
50,1820.54,1.23876,0.59816,0.00702,0.9762,0.94952,0.97851,0.68188,1.10164,0.4346,0.00862,0.00122384,0.00122384,0.00122384
51,1850.02,1.26353,0.62134,0.00758,0.96992,0.95679,0.98165,0.6792,1.22123,0.42893,0.01066,0.001208,0.001208,0.001208
52,1880.04,1.2545,0.58955,0.00678,0.98138,0.94907,0.98118,0.62509,1.32113,0.4678,0.01113,0.00119216,0.00119216,0.00119216
53,1909.44,1.25052,0.59966,0.00728,0.95833,0.95827,0.98238,0.65855,1.20506,0.43349,0.00951,0.00117632,0.00117632,0.00117632
54,1938.95,1.28056,0.60701,0.00728,0.97315,0.95069,0.98271,0.68202,1.13593,0.43776,0.0092,0.00116048,0.00116048,0.00116048
55,1969.45,1.25811,0.59353,0.00733,0.95119,0.95062,0.97947,0.67545,1.15618,0.45411,0.00935,0.00114464,0.00114464,0.00114464
56,1998.86,1.25821,0.5867,0.00725,0.98032,0.95216,0.98613,0.7099,1.09178,0.422,0.0088,0.0011288,0.0011288,0.0011288
57,2027.91,1.22802,0.57183,0.00693,0.97435,0.93781,0.98467,0.72008,1.07371,0.38948,0.00827,0.00111296,0.00111296,0.00111296
58,2056.83,1.21203,0.55572,0.0069,0.9853,0.93107,0.9815,0.71295,1.03097,0.39078,0.00811,0.00109712,0.00109712,0.00109712
