epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,131.738,1.07845,0.38801,0.00905,0.96851,0.93188,0.9812,0.70991,1.08697,0.37993,0.01221,0.001307,0.001307,0.001307
44,134.816,1.07165,0.38729,0.00887,0.97391,0.93388,0.98659,0.68656,1.17652,0.42878,0.01342,0.0012905,0.0012905,0.0012905
45,137.788,1.02935,0.36679,0.00898,0.95602,0.95811,0.98598,0.70614,1.10833,0.41964,0.01302,0.001274,0.001274,0.001274
46,140.801,1.0293,0.36163,0.00869,0.95763,0.95592,0.98476,0.70263,1.11892,0.44429,0.01305,0.0012575,0.0012575,0.0012575
47,143.841,1.03999,0.3923,0.00896,0.93195,0.98097,0.98445,0.6932,1.08999,0.41877,0.01298,0.001241,0.001241,0.001241
48,146.872,1.02138,0.38263,0.00836,0.96924,0.95483,0.98791,0.68407,1.10562,0.35204,0.01232,0.0012245,0.0012245,0.0012245
49,149.834,1.03611,0.39383,0.00855,0.95405,0.97235,0.98565,0.6951,1.08605,0.33947,0.01204,0.001208,0.001208,0.001208
50,152.838,1.00644,0.37418,0.00846,0.98847,0.94428,0.99111,0.65838,1.18664,0.3586,0.01379,0.0011915,0.0011915,0.0011915
51,155.805,0.95685,0.31999,0.00754,0.97434,0.96143,0.97949,0.68558,1.07747,0.41697,0.01186,0.001175,0.001175,0.001175
52,158.78,1.0341,0.36075,0.00934,0.97974,0.93388,0.9818,0.65742,1.24272,0.44816,0.01519,0.0011585,0.0011585,0.0011585
53,161.768,1.01411,0.37949,0.00845,0.97499,0.95317,0.98652,0.69223,1.10147,0.3846,0.01256,0.001142,0.001142,0.001142
54,164.79,0.99812,0.3609,0.00885,0.97162,0.97245,0.98941,0.70006,1.08846,0.35739,0.01222,0.0011255,0.0011255,0.0011255
55,167.838,0.95686,0.35465,0.00765,0.97421,0.93673,0.98982,0.68709,1.09093,0.40217,0.01194,0.001109,0.001109,0.001109
56,170.806,0.96889,0.33398,0.00778,0.97469,0.95477,0.9882,0.70189,1.07343,0.3815,0.01201,0.0010925,0.0010925,0.0010925
57,173.757,0.9787,0.34652,0.00801,0.97503,0.97245,0.98825,0.70831,1.06402,0.3664,0.01185,0.001076,0.001076,0.001076
58,176.762,0.91238,0.3113,0.00736,0.97195,0.95444,0.98752,0.70921,1.07336,0.37303,0.01203,0.0010595,0.0010595,0.0010595
59,179.763,0.93362,0.32484,0.0075,0.96738,0.94766,0.98002,0.69865,1.1137,0.4445,0.01267,0.001043,0.001043,0.001043
60,182.78,0.9358,0.33163,0.00741,0.97219,0.9449,0.98391,0.68698,1.16438,0.41708,0.01422,0.0010265,0.0010265,0.0010265
61,185.762,0.93611,0.33348,0.00816,0.96141,0.96079,0.98545,0.70215,1.09513,0.38632,0.01259,0.00101,0.00101,0.00101
62,188.766,0.91593,0.31614,0.00768,0.96635,0.94937,0.98132,0.6958,1.14978,0.41222,0.01264,0.0009935,0.0009935,0.0009935
63,191.773,0.94417,0.33498,0.00762,0.97741,0.95364,0.98552,0.70439,1.11847,0.37336,0.01273,0.000977,0.000977,0.000977
64,194.75,0.92016,0.33455,0.00706,0.97397,0.96419,0.98931,0.717,1.082,0.36324,0.01216,0.0009605,0.0009605,0.0009605
65,197.766,0.9052,0.30973,0.00748,0.96684,0.96382,0.99088,0.71783,1.07934,0.35926,0.01187,0.000944,0.000944,0.000944
66,200.8,0.87216,0.29507,0.00714,0.97798,0.97878,0.99195,0.71404,1.05401,0.31983,0.01178,0.0009275,0.0009275,0.0009275
67,203.75,0.89302,0.31943,0.00737,0.96789,0.9697,0.9887,0.72249,1.04663,0.34193,0.01157,0.000911,0.000911,0.000911
68,206.89,0.86266,0.30217,0.00679,0.98159,0.9697,0.99166,0.709,1.096,0.3565,0.01219,0.0008945,0.0008945,0.0008945
69,210.039,0.87897,0.316,0.00728,0.9805,0.97796,0.98998,0.70229,1.10152,0.3581,0.01221,0.000878,0.000878,0.000878
70,213.205,0.85387,0.28073,0.00696,0.96956,0.96516,0.98734,0.70959,1.10495,0.38268,0.01245,0.0008615,0.0008615,0.0008615
71,216.377,0.88146,0.30135,0.0077,0.97522,0.97574,0.98852,0.71963,1.07289,0.35616,0.01232,0.000845,0.000845,0.000845
72,219.549,0.8793,0.31698,0.00724,0.96951,0.97245,0.98812,0.70476,1.11321,0.39059,0.01247,0.0008285,0.0008285,0.0008285
73,222.702,0.84472,0.29423,0.00681,0.96968,0.96915,0.98744,0.71497,1.08276,0.3952,0.01216,0.000812,0.000812,0.000812
74,225.853,0.85798,0.31723,0.00703,0.95366,0.96383,0.98247,0.71175,1.11557,0.42029,0.01261,0.0007955,0.0007955,0.0007955
75,229.003,0.85906,0.3024,0.00717,0.98581,0.95697,0.98586,0.70721,1.07679,0.406,0.01188,0.000779,0.000779,0.000779
76,232.168,0.85361,0.2886,0.00689,0.97669,0.96419,0.98903,0.70665,1.07651,0.37296,0.01196,0.0007625,0.0007625,0.0007625
77,235.351,0.84507,0.29579,0.00658,0.98414,0.96143,0.98824,0.71749,1.07566,0.40051,0.012,0.000746,0.000746,0.000746
78,238.507,0.80782,0.2943,0.00661,0.98879,0.97181,0.98978,0.71416,1.0885,0.37668,0.0118,0.0007295,0.0007295,0.0007295
79,241.692,0.86306,0.29935,0.00711,0.98067,0.97828,0.99105,0.71458,1.10595,0.35909,0.01252,0.000713,0.000713,0.000713
80,244.868,0.82292,0.2856,0.00683,0.97768,0.96557,0.99125,0.72665,1.05052,0.36124,0.01157,0.0006965,0.0006965,0.0006965
81,248.109,0.82049,0.279,0.00648,0.95778,0.97521,0.99038,0.72095,1.04756,0.37363,0.01166,0.00068,0.00068,0.00068
82,251.249,0.81738,0.28443,0.00641,0.96039,0.9697,0.98863,0.725,1.05954,0.35066,0.0119,0.0006635,0.0006635,0.0006635
83,254.393,0.82179,0.2928,0.00647,0.98328,0.97199,0.99032,0.72597,1.06461,0.36037,0.01148,0.000647,0.000647,0.000647
84,257.551,0.81145,0.281,0.00656,0.9859,0.96332,0.98824,0.72831,1.05096,0.36988,0.01124,0.0006305,0.0006305,0.0006305
85,260.723,0.77842,0.26219,0.00645,0.97512,0.97188,0.99023,0.72515,1.05065,0.36198,0.01153,0.000614,0.000614,0.000614
86,263.973,0.82614,0.29292,0.00688,0.97556,0.97245,0.99018,0.71389,1.09166,0.36798,0.01184,0.0005975,0.0005975,0.0005975
87,267.071,0.83059,0.2859,0.0067,0.98322,0.96879,0.99025,0.71891,1.05566,0.34776,0.01133,0.000581,0.000581,0.000581
88,270.144,0.79299,0.28897,0.0064,0.98856,0.95189,0.99017,0.71984,1.04528,0.36777,0.01114,0.0005645,0.0005645,0.0005645
89,273.2,0.79603,0.28044,0.00635,0.98883,0.97514,0.99201,0.71163,1.06296,0.3675,0.01134,0.000548,0.000548,0.000548
90,276.751,0.76187,0.25863,0.00625,0.97672,0.97796,0.98962,0.71769,1.04865,0.36675,0.01137,0.0005315,0.0005315,0.0005315
91,279.742,0.74509,0.25359,0.00573,0.98591,0.96694,0.98856,0.71931,1.04416,0.37333,0.0112,0.000515,0.000515,0.000515
92,282.792,0.7323,0.247,0.00561,0.98876,0.96921,0.98999,0.72478,1.06378,0.38751,0.01162,0.0004985,0.0004985,0.0004985
93,285.763,0.81791,0.26936,0.00671,0.97774,0.97521,0.9883,0.71461,1.09916,0.39742,0.01216,0.000482,0.000482,0.000482
94,288.743,0.78543,0.27652,0.00666,0.98039,0.96428,0.98767,0.72017,1.08779,0.40247,0.01188,0.0004655,0.0004655,0.0004655
95,291.73,0.77553,0.27317,0.00604,0.97782,0.9716,0.98866,0.72078,1.07392,0.39556,0.01161,0.000449,0.000449,0.000449
96,294.724,0.7538,0.26324,0.00576,0.97941,0.96419,0.99067,0.72235,1.04954,0.39408,0.01145,0.0004325,0.0004325,0.0004325
97,297.675,0.79426,0.28187,0.00643,0.98056,0.97264,0.99103,0.72542,1.05908,0.36866,0.01164,0.000416,0.000416,0.000416
98,300.642,0.74312,0.25021,0.00572,0.98288,0.98898,0.99259,0.72117,1.07555,0.35688,0.01144,0.0003995,0.0003995,0.0003995
99,303.614,0.77598,0.26976,0.00614,0.99719,0.97683,0.99267,0.71903,1.06082,0.35257,0.01143,0.000383,0.000383,0.000383
100,306.578,0.74731,0.26086,0.00593,0.99444,0.98491,0.9934,0.72206,1.06271,0.33767,0.01157,0.0003665,0.0003665,0.0003665
101,309.538,0.72714,0.2576,0.00593,0.99442,0.98229,0.99403,0.7254,1.06258,0.32394,0.01139,0.00035,0.00035,0.00035
102,312.521,0.73103,0.27054,0.00606,0.99516,0.98072,0.99426,0.72751,1.06418,0.32593,0.0114,0.0003335,0.0003335,0.0003335
103,315.494,0.75999,0.26376,0.00603,1,0.97795,0.99475,0.72817,1.05026,0.32027,0.01127,0.000317,0.000317,0.000317
104,318.494,0.7018,0.23828,0.00562,0.98512,0.99174,0.99484,0.72472,1.04372,0.31887,0.01119,0.0003005,0.0003005,0.0003005
105,321.456,0.70583,0.24419,0.00539,0.98885,0.97686,0.99419,0.72163,1.05387,0.33202,0.01119,0.000284,0.000284,0.000284
106,324.461,0.71247,0.24615,0.00562,0.97534,0.98042,0.99391,0.717,1.0694,0.34175,0.01141,0.0002675,0.0002675,0.0002675
107,327.441,0.69804,0.24401,0.00535,0.99158,0.97521,0.99399,0.719,1.04434,0.34105,0.0112,0.000251,0.000251,0.000251
